Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Q1_Stepsize       Critic_Q2_Stepsize       Actor_Loss               Actor_Stepsize           Alpha_Loss               Alpha                    Disc_Loss                Disc_Acc_Expert          Disc_Acc_Agent           Disc_Stepsize            Disc_Steps               Disc_Prob                Disc_Abs_Logit           Disc_Reward_Mean         Disc_Reward_Std          Grad_Penalty             
32                       0.21959359480275048      140747                   0.0                      589.9393345674315        0.048293082378355986     1.9895072022425693       0                        0                        0.999453548              0.05                     0.326297177638704        0.0003                   0.0003                   0.7333777157832283       0.0003                   0.002891939606415306     [0.00616187]             7.536537709862294        1.0                      0.7730796698367955       1e-05                    1086                     0.34648182416203044      1.0484702948367957       0.760141134262085        0.7170422673225403       0.3256455479246197       
33                       0.2277717453903622       144886                   0.0                      589.5879124054055        0.048294418276513665     1.9890594255134437       0                        0                        0.999437012              0.05                     0.32313557454679315      0.0003                   0.0003                   0.7151362615209792       0.0003                   0.0027739541621891795    [0.00598951]             7.523352806014244        1.0                      0.776720759844539        1e-05                    1119                     0.34683579146259963      1.0662778796571672       0.7722054024537405       0.7217573126157125       0.32290656638867926      
34                       0.2359060024552875       149022                   0.0                      590.025861396656         0.04840256988482238      1.9883973036122564       0                        0                        0.999420456              0.05                     0.33140257077667334      0.0003                   0.0003                   0.7655475722660493       0.0003                   0.0017951332891097784    [0.00586817]             7.524781429406367        1.0                      0.7670895740239306       1e-05                    1152                     0.34395166358562435      1.0910797889786537       0.7436422308286031       0.7193944851557413       0.3230641442115861       
35                       0.24396376993921068      153151                   0.0                      590.4294903886665        0.04855824100593712      1.9880186346923898       0                        0                        0.999403912              0.05                     0.32253599168468955      0.0003                   0.0003                   0.7896289117261235       0.0003                   -0.0003399824397264494   [0.00588379]             7.483244154188369        1.0                      0.7750764326615768       1e-05                    1185                     0.344090264252942        1.0723560410316544       0.7583666543165842       0.7257088323434194       0.3203223498180659       
36                       0.25206562194559307      157288                   0.0                      588.7744767161985        0.04881381810479053      1.9874809206795931       0                        0                        0.999387396              0.05                     0.32406383955342233      0.0003                   0.0003                   0.8042253273324734       0.0003                   0.00022817686809231422   [0.00588964]             7.503779787005801        1.0                      0.7739018719605726       1e-05                    1218                     0.3433713383144803       1.082486239346591        0.7367816070715586       0.7259451448917389       0.3218077168320165       
37                       0.26016097260846033      161421                   0.0                      588.6053653897537        0.04868954029093122      1.9868799217736273       0                        0                        0.999370848              0.05                     0.3197028732542828       0.0003                   0.0003                   0.7744746435438955       0.0003                   0.0002571447525281868    [0.00584664]             7.468686421712239        1.0                      0.7648579472243183       1e-05                    1251                     0.34730775910194484      1.082023216016365        0.7467459142208099       0.7328353921572367       0.3177333793254814       
38                       0.2682301080226898       165583                   0.0                      589.9884141867999        0.04871472321840767      1.9862079309004965       0                        0                        0.999354316              0.05                     0.32838837661712467      0.0003                   0.0003                   0.7942120246962245       0.0003                   0.0005122985604561556    [0.00582765]             7.469674698030105        1.0                      0.7656801011827256       1e-05                    1284                     0.34571192962954744      1.0869376057326192       0.726673404375712        0.7332267562548319       0.31776696022110756      
39                       0.2762777713272307       169748                   0.0                      589.5906467267388        0.0487800780742847       1.9854258677001897       0                        0                        0.999337668              0.05                     0.317144941826363        0.0003                   0.0003                   0.7725569947552101       0.0003                   0.0006716000652964646    [0.00576842]             7.428876549306541        1.0                      0.7753113351687037       1e-05                    1317                     0.3433460274127999       1.0807530374237986       0.7476425468921661       0.7419003546237946       0.3148921378935226       
40                       0.28436667011843786      173883                   0.0                      589.1428981878861        0.0487294806119235       1.9848414305034343       0                        0                        0.999321008              0.05                     0.3215684546837223       0.0003                   0.0003                   0.7871513379276737       0.0003                   0.0005359364855968034    [0.00573026]             7.383517409815933        1.0                      0.7653277426054984       1e-05                    1350                     0.34639914830525714      1.0808109129318082       0.7217867275079092       0.7404871682325999       0.310171618606105        
41                       0.29246596071455216      178010                   0.0                      589.8885881401382        0.048761322658570916     1.984256985835967        0                        0                        0.999304468              0.05                     0.31627965283624093      0.0003                   0.0003                   0.7696889602447272       0.0003                   0.000431040261693548     [0.00570371]             7.359028498331706        1.0                      0.7805233101050059       1e-05                    1382                     0.3419581005970637       1.0677513480186462       0.7482858300209045       0.7461908658345541       0.3102235992749532       
42                       0.30058881249692704      182134                   0.0                      589.7104416619432        0.048573005393431935     1.9836656099164898       0                        0                        0.99928796               0.05                     0.3138548127017137       0.0003                   0.0003                   0.7703701108694077       0.0003                   0.000644715496507638     [0.00565021]             7.338342825571696        1.0                      0.7703489263852438       1e-05                    1414                     0.3464658359686534       1.077656368414561        0.7239722311496735       0.7434074978033701       0.305578018228213        
