Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Q1_Stepsize       Critic_Q2_Stepsize       Actor_Loss               Actor_Stepsize           Alpha_Loss               Alpha                    Disc_Loss                Disc_Acc_Expert          Disc_Acc_Agent           Disc_Stepsize            Disc_Steps               Disc_Prob                Disc_Abs_Logit           Disc_Reward_Mean         Disc_Reward_Std          Grad_Penalty             
0                        0.00855850511127048      8258                     0.0                      591.6213847131163        0.07363331132801787      2.406839123907574        0                        0                        0.99998352               0.05                     59.030507922172546       0.0003                   0.0003                   25.498186222144536       0.0003                   -0.3725653824097078      0.2                      62.49804317589962        0.6870265151515151       0.5832149621212122       1e-05                    33                       0.4275290677041719       2.4261367682254673       0.0                      0.0                      5.531507896654533        
1                        0.014238561259375677     12384                    0.0                      593.4249511819173        0.05826830261463172      2.393995203478328        0                        0                        0.9999669680000001       0.05000000000000001      8.012584016436621        0.0003                   0.0003                   26.316713582901727       0.0003                   -1.386985383218243       0.2                      31.588170831853695       0.9850852272727273       0.6197916666666667       1e-05                    66                       0.4009364301508123       2.146216190222538        0.7039561420679092       0.8046882450580597       2.531245722915187        
2                        0.019671292768584356     16499                    0.0                      593.3022982346669        0.05763926265114647      2.4094468543993304       0                        0                        0.999950464              0.05                     4.3563093064086775       0.0003                   0.0003                   26.534024979387013       0.0003                   -2.8020245720233237      0.2                      25.901918353456438       0.9900568181818181       0.6369554924242424       1e-05                    99                       0.39168404087875824      1.9903325745553682       0.696313887834549        0.8035353273153305       1.9924644123424184       
3                        0.02715363409784105      20619                    0.0                      581.0746494000597        0.065049311080967        2.404427964224982        0                        0                        0.999934004              0.05                     3.765123236179352        0.0003                   0.0003                   26.396326950618196       0.0003                   -4.622975760698319       0.2                      21.653466426964965       0.9924242424242424       0.6415719696969697       1e-05                    132                      0.38662808591669257      1.925123879403779        0.6853610575199127       0.7992142289876938       1.5804559823238489       
4                        0.03398630764749315      24742                    0.0                      588.5556956741966        0.06580958105160582      2.384126593957884        0                        0                        0.999917524              0.05                     3.636795583935011        0.0003                   0.0003                   26.379278478168306       0.0003                   -6.854175544920421       0.2                      19.166318026455965       0.9951467803030303       0.6474905303030303       1e-05                    165                      0.38296327446446277      1.8514081492568506       0.6860827803611755       0.798603281378746        1.3451556292447178       
5                        0.04085241297880809      28875                    0.0                      590.596801313716         0.053632418489970364     2.3790624532399565       0                        0                        0.999901032              0.05                     3.472249092192066        0.0003                   0.0003                   26.394153025685526       0.0003                   -9.493181788191503       0.2                      17.77147004098603        0.9957386363636365       0.64453125               1e-05                    198                      0.3844517072041829       1.7902183532714844       0.7021529525518417       0.8011780679225922       1.2146325255885269       
6                        0.04905712823073069      32986                    0.0                      585.1943972444597        0.047474926446134276     2.3739171985802923       0                        0                        0.9998845000000001       0.05000000000000001      3.2472850371684348       0.0003                   0.0003                   26.406937620469503       0.0003                   -12.546303399971553      0.2                      16.679004553592566       0.9956202651515151       0.6516335227272728       1e-05                    231                      0.3819739818572998       1.7560357758493135       0.7121739685535431       0.8018596023321152       1.1098236893162583       
7                        0.0577143751250373       37107                    0.0                      592.0325059016944        0.04022078858349083      2.3721544367717486       0                        0                        0.9998680560000001       0.05000000000000001      3.1221657806918737       0.0003                   0.0003                   26.41443907646906        0.0003                   -16.019092906089057      0.2                      15.792217370235559       0.9997632575757576       0.6548295454545454       1e-05                    264                      0.3804512529662161       1.7525632742679482       0.7065620571374893       0.7998614609241486       1.02411683400472         
8                        0.06713345898522272      41232                    0.0                      591.8284858427352        0.037704441106419274     2.3680746065530314       0                        0                        0.9998515720000001       0.05000000000000001      2.9883450297372685       0.0003                   0.0003                   26.44097829886845        0.0003                   -19.903453765596662      0.2                      14.994543826941287       1.0                      0.6589725378787878       1e-05                    297                      0.3774417891646876       1.7338961398962773       0.7075528204441071       0.7994028478860855       0.9498748779296875       
9                        0.07734276817904578      45353                    0.0                      589.0393545742811        0.034284974621294415     2.3619962066522615       0                        0                        0.999835072              0.05                     2.855887599966743        0.0003                   0.0003                   26.48633713846083        0.0003                   -24.214490754263743      0.2                      14.431323195948746       1.0                      0.6629971590909091       1e-05                    330                      0.37415680018338293      1.7210072026108252       0.7131489664316177       0.7998896241188049       0.8959162163011956       
