Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  Disc_Loss                Disc_Acc_Expert          Disc_Acc_Agent           Disc_Stepsize            Disc_Steps               Disc_Prob                Disc_Abs_Logit           Disc_Reward_Mean         Disc_Reward_Std          Grad_Penalty             
20                       0.03812187764379713      91629                    0.0                      582.2348769946966        0.06000647787599914      0.7125548024417404       0                        0                        0.9996502119999999       0.049999999999999996     1.5301394866158564       0.005                    0.3149932709832986       2e-05                    0.5734011626336724       -0.02638855              1.7385458                6.682319795242464        1.0                      0.8477802469272806       1e-04                    692                      0.3072346436856973       1.1304943200313684       0.8008315165837606       0.7601389487584432       0.2635945743984646       
21                       0.03995151440302531      95811                    0.0                      582.2269814031747        0.05978556785666963      0.7129443811079689       0                        0                        0.9996334840000001       0.05000000000000001      1.4800509065389633       0.005                    0.3188756414068242       2e-05                    0.5574127913763126       0.3642376                1.7196728                6.6294616545089555       1.0                      0.8552972427522295       1e-04                    725                      0.3045945023045395       1.1326582744868114       0.7329735159873962       0.7371910611788431       0.2608675186080162       
22                       0.04175262947877248      99993                    0.0                      581.5245018689917        0.059029134603514576     0.7135906270523119       0                        0                        0.999616756              0.05                     1.3335986932118733       0.005                    0.32548848493024707      2e-05                    0.5932655042658249       -0.42531008              1.6952773                6.554620607934818        1.0                      0.8502467569678721       1e-04                    758                      0.30522162023216787      1.1259591459023832       0.726822684208552        0.7413902382055918       0.2559395847898541       
23                       0.04349493748611874      104175                   0.0                      581.2323280525916        0.05834347107340789      0.7142731035034101       0                        0                        0.9996000279999999       0.049999999999999996     1.529635675251484        0.005                    0.2977382849591474       2e-05                    0.544815892043213        0.36671504               1.65673                  6.4872305513632424       1.0                      0.8576463448880899       1e-04                    791                      0.30416924062401357      1.1143227008858112       0.7092219889163971       0.7311763366063436       0.252362376511699        
24                       0.045237051447232564     108357                   0.0                      581.9945014516975        0.05805321581012876      0.7145283075183513       0                        0                        0.9995833000000001       0.05000000000000001      1.6235004793852568       0.005                    0.3146326231459777       2e-05                    0.5406976750430962       0.090185076              1.708251                 6.463970145793876        1.0                      0.8530656544849126       1e-04                    824                      0.30521576813977175      1.1115192451862372       0.7946319182713827       0.7438298662503561       0.25212674189095546      
25                       0.04700458639197879      112539                   0.0                      581.0067650350187        0.057749165226361684     0.7148113443014882       0                        0                        0.999566572              0.05                     1.6829007963339488       0.005                    0.30838528322055936      2e-05                    0.550145350707074        0.39687446               1.61802                  6.423705052847814        1.0                      0.861404862066712        1e-04                    857                      0.3031495701182972       1.1070034913342408       0.7220625181992849       0.7342134515444437       0.2513124918696857       
26                       0.04875239584181044      116721                   0.0                      581.9628618872713        0.05788571273384769      0.7152074302017909       0                        0                        0.999549844              0.05                     1.5576032474637032       0.005                    0.2966357084612052       2e-05                    0.5273740329624464       0.07194635               1.9112341                6.38973459571299         1.0                      0.8672775114425505       1e-04                    890                      0.30247573659877586      1.1016500453756313       0.7224302093187968       0.7390118539333344       0.25042080156730884      
27                       0.05062611003716787      120903                   0.0                      581.8715278891727        0.05821976737086606      0.7153846178650627       0                        0                        0.999533116              0.05                     1.4632152964671452       0.005                    0.29842442491402227      2e-05                    0.4745639545144513       0.53276014               1.8914366                6.335821286596432        1.0                      0.8617572399100871       1e-04                    923                      0.30290696115204785      1.1015493990194918       0.6925318539142609       0.7230220635732015       0.2471352635007916       
28                       0.05252257274256812      125085                   0.0                      581.8440351034395        0.05867949481791416      0.7157622289974405       0                        0                        0.999516388              0.05                     1.5294470979521673       0.005                    0.3312561510441204       2e-05                    0.5595930235770842       0.7807114                1.8048717                6.2501470392400575       1.0                      0.8753817876180013       1e-04                    956                      0.3003338515156447       1.0934419150304313       0.7290038963158926       0.7275093595186869       0.2415910296969944       
29                       0.05443637337949541      129266                   0.0                      582.5721374026373        0.059347769870533085     0.7158644155708092       0                        0                        0.99949966               0.05                     1.6198717777927716       0.005                    0.3026272094187637       2e-05                    0.5712209329940379       0.4725724                1.6738957                6.137017298226405        1.0                      0.8756167575566455       1e-04                    989                      0.30177941948476467      1.0868468043780086       0.7440215845902761       0.724084327618281        0.23225261225844873      
