Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  Disc_Loss                Disc_Acc_Expert          Disc_Acc_Agent           Disc_Stepsize            Disc_Steps               Disc_Prob                Disc_Abs_Logit           Disc_Reward_Mean         Disc_Reward_Std          Grad_Penalty             
0                        0.002798294226328532     8293                     0.0                      589.17352420217          0.03750151005436594      0.7144623432194854       0                        0                        0.999983428              0.05                     1.6334825118382774       0.0005                   0.2651943027973175       2e-06                    0.08527131887773672      1.1843376                1.4110554                84.09015694049874        0.6210946651420208       0.6192154065527097       1e-05                    33                       0.39176844105576025      3.045118312643032        0.0                      0.0                      7.238116254710188        
1                        0.004660451014836629     12441                    0.0                      589.0682822994773        0.05078442265668784      0.7182814035016684       0                        0                        0.999966828              0.05                     2.113754274447759        0.0005                   0.2693875986668799       2e-06                    0.16589147378173139      1.3423265                1.9383756                38.19515652126736        0.8234671968402285       0.672421937036996        1e-05                    66                       0.3693048255612152       1.8453495719216086       0.3342634191115697       0.6392080585161845       3.2269609624689277       
2                        0.006388074954350789     16589                    0.0                      589.1602748761753        0.05719366383723521      0.7177932264422527       0                        0                        0.999950236              0.05                     2.217377144760556        0.0005                   0.2675613891747263       2e-06                    0.06744186157981555      0.79531085               1.8746579                29.5138115160393         0.9707539105656172       0.6848720300077188       1e-05                    99                       0.3608489277386906       1.6730888251102332       0.6119713187217712       0.7689420282840729       2.396083793254814        
3                        0.008124134341875712     20735                    0.0                      588.2555527965702        0.059588515700576265     0.717154853746144        0                        0                        0.9999336440000001       0.05000000000000001      2.329751816060808        0.0005                   0.2626133127344979       2e-06                    0.13410852886736394      0.42554146               2.1504273                25.207953559027782       0.9922479764379636       0.7096547309798424       1e-05                    132                      0.35057773493757155      1.6260523555254693       0.7063001493612925       0.7941589852174123       1.9768388150918363       
4                        0.009889187084303962     24880                    0.0                      587.4762898319865        0.06128922597719044      0.7181252000300038       0                        0                        0.99991706               0.05                     2.2955276727676392       0.0005                   0.2756392995516459       2e-06                    0.11963824460075961      0.11985702               2.3038003                22.548890084931344       1.0                      0.709537274909742        1e-05                    165                      0.35105114272146515      1.5663448487869418       0.7566840946674347       0.7990741928418478       1.7190839016076291       
5                        0.011651011109352112     29051                    0.0                      587.357442248739         0.0619685187491197       0.7185767777883001       0                        0                        0.99990048               0.05                     2.219448604931434        0.0005                   0.26069102187951404      2e-06                    0.15455426450353116      -0.10434009              2.1054444                20.611592918935447       1.0                      0.7155274092549025       1e-05                    198                      0.3463542774470166       1.5212120094684638       0.7631068627039591       0.8027531703313192       1.5334535078568894       
6                        0.013426711956659954     33198                    0.0                      587.5868403351412        0.061969715465700834     0.7191642361835877       0                        0                        0.999883796              0.05                     2.0893508506317935       0.0005                   0.26350190754358965      2e-06                    0.12887596998674175      0.35529947               1.857469                 19.174445566504893       1.0                      0.7163495632133099       1e-05                    231                      0.3472695687804559       1.482565427067304        0.7668462296326956       0.7959255675474802       1.3945595327049796       
7                        0.015161273611916435     37352                    0.0                      588.1365238831607        0.061782762806420574     0.7197607117298724       0                        0                        0.9998672080000001       0.05000000000000001      2.45959854995211         0.0005                   0.2620808188803494       2e-06                    0.1174903114636739       0.5066614                2.0740132                18.002758295849116       1.0                      0.7311487390537454       1e-05                    264                      0.33921288480662337      1.4933347798357106       0.7649671534697214       0.7988044321537018       1.2804025977548925       
8                        0.016996900770399306     41505                    0.0                      586.035789501827         0.06229312620593358      0.722376808719831        0                        0                        0.999850592              0.05                     2.5633505259950957       0.0005                   0.2652469909129043       2e-06                    0.13711240507351855      0.12823266               2.3894105                17.033884067728064       1.0                      0.734789819428415        1e-05                    297                      0.33888171899198277      1.4678186358827532       0.7921184996763865       0.8021939396858215       1.1860909895463425       
9                        0.018805383708741928     45640                    0.0                      586.7227254599669        0.06173491795802209      0.7238572360482615       0                        0                        0.99983398               0.05                     2.2612957259019217       0.0005                   0.2649014148240288       2e-06                    0.11046511815705647      0.017566891              2.344673                 16.314744120896464       1.0                      0.73937052909774         1e-05                    330                      0.3389562789839928       1.4387857456399937       0.8141258557637533       0.7979425291220347       1.1174387498335405       
