Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Q1_Stepsize       Critic_Q2_Stepsize       Actor_Loss               Bound_Loss               Actor_Stepsize           Alpha_Loss               Alpha                    Disc_Loss                Disc_Acc_Expert          Disc_Acc_Agent           Disc_Stepsize            Disc_Steps               Disc_Prob                Disc_Abs_Logit           Disc_Reward_Mean         Disc_Reward_Std          Grad_Penalty             
0                        0.003985353178448147     8289                     0.0                      588.5431608319053        0.0658894986610081       1.999957390323858        0                        0                        0.99998342               0.05                     0.5337615091176261       0.0003                   0.0003                   132.3805921971798        0.3079960601670402       0.0003                   -0.012025416009627019    [0.00539969]             3.437091172343553        1.0                      0.8991074128584428       1e-05                    33                       0.3260103572498668       0.8524198243112275       0.0                      0.0                      0.09632160085620302      
1                        0.00681560754776001      12423                    0.0                      591.0062318535363        0.06591397057717836      2.0001746595191685       0                        0                        0.999966844              0.05                     1.179029894135301        0.0003                   0.0003                   4.307739069774037        0.08655395276016659      0.0003                   -0.054487076055790694    [0.0054927]              3.497139092647668        1.0                      0.8879493559249724       1e-05                    66                       0.3168423777878886       0.979019001276806        0.61553027232488         0.599453349908193        0.09652070324830335      
2                        0.009634640812873841     16559                    0.0                      591.8798738946075        0.06578311508869521      2.0021079863120455       0                        0                        0.9999503080000001       0.05000000000000001      0.9270165407409271       0.0003                   0.0003                   1.2902028200083544       0.02495822716238243      0.0003                   -0.06774001628426568     [0.00561237]             3.5206710353042143       1.0                      0.8766738429214015       1e-05                    99                       0.3116950410785097       1.0474626560403844       0.5923977096875509       0.6361419260501862       0.09652439271560824      
3                        0.012790883382161458     20693                    0.0                      592.1939517435973        0.06547697276877557      2.003982015288242        0                        0                        0.999933764              0.05                     0.8759464113485246       0.0003                   0.0003                   0.6487625699667704       0.015353662396470706     0.0003                   -0.07104669113066935     [0.00575377]             3.528090274695194        1.0                      0.87185818257958         1e-05                    132                      0.31076525678538314      1.0551864739620325       0.5837052961190542       0.653914342323939        0.09724906719092168      
4                        0.016372207668092515     24824                    0.0                      591.8798295209687        0.0652464537001814       2.005695682898288        0                        0                        0.9999172279999999       0.049999999999999996     0.8504491902020083       0.0003                   0.0003                   0.39644819932679337      0.00016757709546441057   0.0003                   -0.06607110844738033     [0.00590663]             3.5341902453489973       1.0                      0.8737374700681126       1e-05                    165                      0.3086311166936701       1.0687270694308808       0.5678881208101908       0.6580145259698232       0.09793740811974112      
5                        0.020245708425839743     28950                    0.0                      592.4257366887279        0.06514582940610653      2.007300885590129        0                        0                        0.9999007040000001       0.05000000000000001      0.8019797530063649       0.0003                   0.0003                   0.294334659621734        0.0024757710291185542    0.0003                   -0.05705392555272867     [0.00606755]             3.5325239499409995       1.0                      0.8659157852331797       1e-05                    197                      0.30756059288978577      1.0754851301511128       0.563564121723175        0.6618532538414001       0.09763540451725324      
6                        0.024477876292334663     33077                    0.0                      592.932441991555         0.0651478620276887       2.008820205343202        0                        0                        0.9998842                0.05                     0.8300424219983998       0.0003                   0.0003                   0.1708988548815603       0.0028826759673062368    0.0003                   -0.04639395150835767     [0.00622803]             3.537578741709391        1.0                      0.8637355069319407       1e-05                    229                      0.30680954953034717      1.0870534578959148       0.5251242369413376       0.6504162847995758       0.0977606972058614       
7                        0.029046647946039835     37206                    0.0                      592.8872996916839        0.06521259558838621      2.010291547310373        0                        0                        0.999867692              0.05                     0.8212889969187378       0.0003                   0.0003                   0.13300899369713617      0.0009118303717151891    0.0003                   -0.03797441753016174     [0.00638834]             3.512491245462437        1.0                      0.8669251143330275       1e-05                    262                      0.30641243674538354      1.0796132135872891       0.5640863279501597       0.6682188411553701       0.09646621496990475      
8                        0.03396765927473704      41332                    0.0                      592.9725027533909        0.06529445904558949      2.0119053355193155       0                        0                        0.9998511760000001       0.05000000000000001      0.7970225864300763       0.0003                   0.0003                   0.10692950001455519      0.002266885119052989     0.0003                   -0.02304087037338429     [0.00651257]             3.506476044654846        1.0                      0.8713663617769877       1e-05                    294                      0.3018147101004918       1.0967576503753662       0.5576341152191162       0.6669303874174753       0.09607622275749843      
9                        0.039306534131368004     45471                    0.0                      592.9972097468698        0.06542497139232756      2.0135968499853436       0                        0                        0.999834672              0.05                     0.7872735681467585       0.0003                   0.0003                   0.07617374888509706      0.000246055084021969     0.0003                   -0.009658806193581566    [0.00658086]             3.495316707726681        1.0                      0.8672775885071417       1e-05                    327                      0.3035213200732915       1.0839070792150016       0.5324494043986002       0.6581423282623291       0.09560580205435705      
