Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Q1_Stepsize       Critic_Q2_Stepsize       Actor_Loss               Actor_Stepsize           Alpha_Loss               Alpha                    Disc_Loss                Disc_Acc_Expert          Disc_Acc_Agent           Disc_Stepsize            Disc_Steps               Disc_Prob                Disc_Abs_Logit           Disc_Reward_Mean         Disc_Reward_Std          Grad_Penalty             
0                        0.007415326370133294     8245                     0.0                      590.8481572833764        0.03750162332822144      2.28455119411868         0                        0                        0.999983496              0.05                     3268.8028042657033       0.0003                   0.0003                   99.25413172585624        0.0003                   95.31561613082886        [0.9916873]              69.48438054865056        0.6044034090909091       0.5512547348484849       1e-05                    33                       0.45021212462222937      2.733475771817294        0.0                      0.0                      6.144119031501539        
1                        0.016566524638070002     12365                    0.0                      593.4618971745869        0.045881078284257845     2.3086921129696334       0                        0                        0.9999670199999999       0.049999999999999996     148.20077671323503       0.0003                   0.0003                   128.48584347679503       0.0003                   91.74131447928292        [0.9795323]              32.54149095939867        0.9540719696969697       0.5743371212121212       1e-05                    66                       0.42916867949745874      2.3396859602494673       0.672048345208168        0.7997264564037323       2.5692554820667612       
2                        0.023246208826700848     16495                    0.0                      593.5186303164769        0.024662038867443472     2.302076388259872        0                        0                        0.99995054               0.05                     43.22486534288951        0.0003                   0.0003                   125.94057522501264       0.0003                   93.13339700017656        [0.96324044]             28.943220658735797       0.9997632575757576       0.6189630681818182       1e-05                    99                       0.40431310191298975      1.9401396838101475       0.736623004078865        0.8126471191644669       2.2946115551572857       
3                        0.03003760536511739      20612                    0.0                      589.8464289687965        0.028392858255319953     2.3376203689719963       0                        0                        0.99993402               0.05                     34.381196417127335       0.0003                   0.0003                   124.09600451333182       0.0003                   91.6444694519043         [0.94343805]             23.33045127175071        1.0                      0.6309185606060606       1e-05                    132                      0.3925806464570941       1.8852745113950786       0.7135926634073257       0.8042189925909042       1.7492579257849492       
4                        0.037497754560576545     24720                    0.0                      577.8871558612012        0.027046832179508082     2.3441067275363467       0                        0                        0.999917552              0.05                     31.061681713376725       0.0003                   0.0003                   121.30654627936227       0.0003                   89.70549129304432        [0.9205147]              19.92946231726444        1.0                      0.6354166666666667       1e-05                    165                      0.39253095424536505      1.8123903852520566       0.7315833419561386       0.8067393898963928       1.4220248135653408       
5                        0.0449658281273312       28831                    0.0                      582.1495838926024        0.030734749916162558     2.3373661067077824       0                        0                        0.99990112               0.05                     28.070033277784077       0.0003                   0.0003                   118.14543673456932       0.0003                   87.43298664871527        [0.89481735]             18.53981480453954        1.0                      0.6556581439393939       1e-05                    198                      0.38048220403266675      1.7845754623413086       0.6910791546106339       0.7971982508897781       1.291483330004143        
6                        0.053275874124632944     32958                    0.0                      581.777260505139         0.029577259281427407     2.3342637728212456       0                        0                        0.999884676              0.05                     24.848898236240657       0.0003                   0.0003                   114.73255201748438       0.0003                   84.94766562325613        [0.8667187]              17.26745235558712        1.0                      0.6471354166666666       1e-05                    231                      0.38527184544187604      1.7340693907304243       0.731715202331543        0.8021169304847717       1.1707498955004143       
7                        0.06204811076323191      37098                    0.0                      588.4364089051364        0.030529951879853603     2.3324279802017256       0                        0                        0.999868168              0.05                     21.90747062175993        0.0003                   0.0003                   111.0080358414423        0.0003                   82.23346163734557        [0.8365991]              16.518530180959992       1.0                      0.6544744318181819       1e-05                    264                      0.37766593152826483      1.742405689123905        0.7271345257759094       0.8007296025753021       1.099232731443463        
8                        0.0722281653351254       41233                    0.0                      591.6547597585436        0.03261130156141724      2.3328941328725668       0                        0                        0.999851608              0.05                     19.039004978111812       0.0003                   0.0003                   107.04337975638254       0.0003                   79.31732756750924        [0.8048473]              15.79437949440696        1.0                      0.664654356060606        1e-05                    297                      0.3741929242105195       1.7224447654955315       0.7398011535406113       0.8012279570102692       1.0296908291903408       
9                        0.08163091871473524      45352                    0.0                      590.8902823144304        0.034430920332442        2.3344048121092267       0                        0                        0.999835068              0.05                     16.503402980891142       0.0003                   0.0003                   102.8829859944133        0.0003                   76.29777920710576        [0.7718183]              15.065384835907906       1.0                      0.6608664772727273       1e-05                    330                      0.3759624524550005       1.6941187020504114       0.7172227650880814       0.7966876477003098       0.9597415346087831       
